Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0,883,FOVA.AF,0.25,0.5,-0.0019783697914138,0.0005935270374386
1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,1,883,FOVA.AF,0.75,1.0,0.0013848427539751,0.0039567395828276
0.5,0.75,0.5,0.75,1.0,1.0,1.0,0.75,1.0,0.25,0.5,1.0,1.0,1.0,0.25,0.25,0.25,0.5,0.25,0.0,0.75,0.5,0.75,0.75,2,883,FOVA.AF,0.75,1.0,0.0015167823734464,0.0025718968288525
0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.25,0.75,1.0,3,883,FOVA.AF,0.25,0.5,-0.0012529836345767,-0.0009232553360076
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,1.0,1.0,0.75,0.75,0.25,0.5,0.5,0.75,0.0,0.5,0.5,4,883,FOVA.AF,0.5,0.75,0.0007254666569099,0.0011211245151782
0.75,0.75,0.5,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.5,0.25,0.25,1.0,0.5,0.5,0.5,0.0,0.25,0.25,0.75,0.0,0.25,0.25,5,883,FOVA.AF,1.0,1.0,0.0025718968288525,0.0023080980899826
0.5,0.75,0.75,1.0,0.5,1.0,1.0,0.75,0.75,0.0,0.5,0.0,0.75,1.0,0.25,0.25,0.75,0.5,0.0,0.0,1.0,0.0,0.75,0.75,6,883,FOVA.AF,1.0,0.5,0.0025718968288525,0.0003956578582681
1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,0.25,0.0,0.5,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.0,0.5,1.0,0.5,0.75,1.0,7,883,FOVA.AF,0.75,0.25,0.001055114455406,-0.0011870540748774
1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,0.25,0.25,0.5,1.0,0.25,1.0,1.0,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.5,1.0,8,883,FOVA.AF,0.5,0.25,0.000329728298569,-0.00303348424682
1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,0.75,0.75,0.25,0.75,0.5,1.0,1.0,0.75,0.5,0.25,0.75,0.75,0.0,0.25,0.75,0.5,9,883,FOVA.AF,0.5,0.25,0.0003956578582682,-0.0015167823734463
