Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
0.75,1.0,0.75,1.0,0.0,1.0,1.0,0.75,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,883,ONWNW-NHGB.AF,0.0,0.0,-0.0075834581115284,-0.0084507561172194
1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,1,883,ONWNW-NHGB.AF,0.0,0.0,-0.0047484354068905,-0.0060764854781049
0.75,0.75,0.75,0.5,0.75,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.25,0.25,0.25,2,883,ONWNW-NHGB.AF,0.75,0.0,0.0010841225071137,-0.0029325302074749
0.75,0.75,0.5,0.5,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.0,1.0,1.0,0.25,0.25,0.25,0.75,0.0,0.5,0.75,0.0,0.75,0.75,3,883,ONWNW-NHGB.AF,0.5,0.25,0.0009757102564023,-0.0016532868233485
0.5,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.25,0.75,0.75,0.0,0.0,0.75,0.75,1.0,1.0,4,883,ONWNW-NHGB.AF,0.5,0.0,0.0005366618152889,-0.0039191452117517
0.75,0.5,0.25,0.5,0.75,1.0,1.0,0.75,1.0,1.0,0.5,0.5,0.0,1.0,0.75,0.0,0.5,0.5,0.75,0.75,0.75,1.0,0.5,0.5,5,883,ONWNW-NHGB.AF,0.5,0.25,-0.0008672980056909,-0.0019460210745368
0.5,0.5,0.25,0.5,0.75,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.25,0.25,0.5,0.5,0.75,0.5,0.75,0.25,6,883,ONWNW-NHGB.AF,0.25,0.5,-0.0013280500712143,-0.0008726974439587
0.5,0.75,0.5,0.75,0.5,1.0,1.0,0.75,0.75,0.0,0.5,0.5,0.75,1.0,0.25,0.75,0.75,0.75,0.0,0.0,1.0,0.75,1.0,0.75,7,883,ONWNW-NHGB.AF,0.0,0.25,-0.0040166527145887,-0.0027536076452657
0.75,0.75,0.75,0.75,0.5,1.0,1.0,0.75,0.25,0.5,0.5,0.75,0.75,1.0,0.75,1.0,1.0,0.5,0.0,0.75,1.0,1.0,0.5,0.5,8,883,ONWNW-NHGB.AF,0.25,0.0,-0.0026289970797508,-0.0035287975863875
0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.75,0.5,0.25,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.75,0.75,0.5,1.0,1.0,0.25,0.75,9,883,ONWNW-NHGB.AF,0.0,0.0,-0.0044558070270407,-0.0044395028408985
0.75,0.75,0.5,0.5,0.25,0.75,1.0,0.75,0.75,1.0,1.0,0.0,0.25,0.0,0.75,0.5,0.5,0.5,0.75,0.75,1.0,0.5,0.0,0.5,10,883,ONWNW-NHGB.AF,0.25,0.25,-0.0010787230688459,-0.0021628455759596
0.5,0.5,0.5,0.5,0.75,0.75,1.0,0.75,0.5,1.0,1.0,0.0,0.25,0.0,0.5,0.25,0.25,0.25,0.5,0.5,1.0,0.25,0.0,0.75,11,883,ONWNW-NHGB.AF,0.5,0.5,0.0004553526272556,0.0005854685023769
0.5,0.5,0.25,0.25,0.75,0.5,1.0,0.75,0.75,0.75,1.0,0.0,0.0,0.25,0.25,0.75,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0,12,883,ONWNW-NHGB.AF,0.75,0.75,0.0012630450693229,0.0010136121956159
0.25,0.25,0.25,0.5,0.25,0.5,1.0,0.75,0.25,0.25,1.0,0.5,0.25,0.25,0.0,0.5,0.75,0.75,0.5,0.0,1.0,0.75,0.75,1.0,13,883,ONWNW-NHGB.AF,0.5,0.75,-0.0008998005066367,0.001176230571683
0.5,0.25,0.5,0.25,0.25,0.5,1.0,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.75,0.25,1.0,0.5,0.0,0.75,1.0,0.5,0.5,0.5,14,883,ONWNW-NHGB.AF,0.5,0.75,1.6304186142179766e-05,0.0034854962089061
0.25,0.25,0.5,0.25,0.0,0.5,1.0,0.0,0.25,0.25,1.0,0.75,0.25,0.25,0.5,0.75,1.0,0.75,0.75,0.5,1.0,0.75,0.75,0.75,15,883,ONWNW-NHGB.AF,0.25,0.75,-0.0010841225071137,0.0053068008465895
0.25,0.5,0.25,0.5,0.25,0.5,1.0,0.25,0.5,0.25,1.0,0.5,0.5,0.5,0.75,1.0,0.25,0.75,0.75,0.75,1.0,0.5,1.0,1.0,16,883,ONWNW-NHGB.AF,0.5,0.75,0.0001301158751213,0.0017670985123277
0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.25,0.25,0.5,1.0,0.75,0.75,0.25,0.75,1.0,0.75,0.5,0.5,0.75,1.0,0.75,1.0,0.5,17,883,ONWNW-NHGB.AF,0.5,0.75,-0.000249432873707,0.0012304366970385
