Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
0.0,0.75,0.0,0.75,0.0,0.75,0.75,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,883,UNY.AF,0.0,0.5,-0.0033515482695809,-0.0004080572632058
0.75,0.75,0.0,0.25,1.0,0.75,0.75,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,1,883,UNY.AF,0.75,0.5,0.0028852174408015,-2.917235883426184e-05
0.25,0.25,0.0,0.0,1.0,0.75,0.75,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.25,0.75,0.75,0.25,0.25,0.25,2,883,UNY.AF,1.0,0.75,0.0147759420537341,0.0061348047586521
0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.5,1.0,0.75,0.5,0.0,1.0,1.0,0.25,0.25,0.25,0.0,0.0,0.5,0.75,0.0,0.0,0.0,3,883,UNY.AF,1.0,0.75,0.0128379012978142,0.0057996072404371
0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.5,0.75,0.0,0.5,0.25,1.0,1.0,0.75,0.75,0.75,0.75,0.0,0.25,0.75,0.75,0.75,0.75,4,883,UNY.AF,1.0,0.75,0.0062368368624772,0.0010637949681238
0.0,0.25,0.0,0.25,1.0,0.75,0.75,0.5,1.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.5,1.0,5,883,UNY.AF,0.75,0.75,0.0029434910063751,0.0017923212659379
0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.0,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.75,1.0,6,883,UNY.AF,0.0,0.25,-0.0029143897996357,-0.0026229508196721
0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0,7,883,UNY.AF,0.0,0.0,-0.0086411372950819,-0.0092677026411658
0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.75,1.0,0.5,0.5,0.5,8,883,UNY.AF,0.0,0.0,-0.0070382940573771,-0.00759199965847
0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,1.0,1.0,0.75,1.0,1.0,0.5,0.25,0.5,0.25,0.25,0.5,1.0,0.25,0.25,0.25,9,883,UNY.AF,0.0,0.0,-0.0051730418943534,-0.0049690488387978
