Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
0.75,0.75,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0,884,NFUBXYRL.AF,1.0,0.5,0.0040416409894072,0.0
0.5,0.75,0.5,0.75,1.0,0.0,0.0,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.25,0.25,0.5,0.5,0.75,0.75,1,884,NFUBXYRL.AF,0.75,0.25,0.0014434180392897,-0.0028868360785792
0.75,1.0,0.75,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.5,0.0,0.75,0.75,1.0,1.0,2,884,NFUBXYRL.AF,0.0,0.0,-0.0063510746125723,-0.0095266119188586
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,0.5,0.75,0.25,0.5,0.5,3,884,NFUBXYRL.AF,0.0,0.0,-0.0063509865133268,-0.0077944045526165
0.75,0.75,0.75,0.75,1.0,0.0,0.0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.0,0.25,0.75,0.0,0.25,0.25,4,884,NFUBXYRL.AF,0.0,0.0,-0.0034642385339933,-0.006928388968741
0.75,0.75,0.75,0.75,1.0,0.0,0.0,0.5,0.5,0.5,0.75,0.0,1.0,1.0,0.25,0.25,0.25,0.0,0.5,0.0,0.75,0.0,0.0,0.0,5,884,NFUBXYRL.AF,0.0,0.0,-0.0040416409894072,-0.0066397758402794
0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.5,0.75,0.5,0.75,0.0,0.75,1.0,0.0,0.0,0.25,0.0,0.75,0.5,1.0,0.5,0.0,0.0,6,884,NFUBXYRL.AF,0.0,0.0,-0.0043302541178689,-0.006928388968741
0.75,0.75,0.75,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.25,0.0,0.0,7,884,NFUBXYRL.AF,0.0,0.75,-0.0031755373062862,0.0020208204947036
0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.5,0.5,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.75,0.0,8,884,NFUBXYRL.AF,0.25,0.75,-0.0014434180392897,0.002309433623165
0.5,0.5,0.5,0.5,0.5,0.75,0.0,0.5,0.5,0.25,0.0,0.0,0.0,1.0,0.75,0.75,0.5,0.75,0.5,0.0,0.0,0.75,1.0,0.75,9,884,NFUBXYRL.AF,0.0,0.25,-0.0034641504347476,-0.0014434180392894
0.5,0.5,0.5,0.5,0.75,0.75,0.0,0.5,0.25,1.0,0.0,0.25,0.0,0.5,1.0,1.0,0.75,0.5,0.25,0.5,0.0,0.75,0.5,0.5,10,884,NFUBXYRL.AF,0.25,0.5,-0.0025981348508721,0.000866103683121
0.5,0.5,0.25,0.5,1.0,0.75,0.0,0.5,1.0,1.0,0.0,0.25,0.0,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.75,0.75,0.25,0.25,11,884,NFUBXYRL.AF,0.25,0.5,-0.0025981348508721,0.000288701227707
0.25,0.25,0.25,0.25,0.5,0.75,0.0,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.5,0.75,0.0,0.75,0.0,12,884,NFUBXYRL.AF,1.0,1.0,0.0051963578009899,0.0040415528901616
0.25,0.25,0.25,0.25,0.75,0.75,0.0,0.5,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.75,0.0,0.25,0.75,0.5,1.0,0.75,13,884,NFUBXYRL.AF,1.0,0.75,0.0037528516624547,0.0025981348508721
0.25,0.25,0.25,0.25,0.75,0.5,0.0,0.0,0.75,0.75,0.0,0.25,0.0,0.0,0.75,0.75,1.0,0.5,0.5,0.5,0.75,0.75,0.5,1.0,14,884,NFUBXYRL.AF,0.75,0.75,0.0020207323954581,0.0034641504347476
0.25,0.25,0.25,0.25,0.75,0.5,0.0,0.0,0.75,0.5,0.0,0.5,0.25,0.0,0.5,0.5,0.5,0.25,0.25,0.25,1.0,0.75,0.75,1.0,15,884,NFUBXYRL.AF,1.0,1.0,0.0034642385339931,0.0063510746125723
0.25,0.25,0.25,0.25,0.5,0.25,0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.0,0.75,0.75,0.25,0.0,0.5,0.5,1.0,0.25,1.0,0.5,16,884,NFUBXYRL.AF,0.75,1.0,0.0028868360785792,0.0086605082357376
0.25,0.5,0.25,0.75,1.0,0.25,0.0,0.75,1.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.25,0.75,0.75,0.25,0.5,0.5,1.0,0.75,17,884,NFUBXYRL.AF,0.25,1.0,-0.0011548049108283,0.013568076709775
0.75,0.75,0.75,0.75,0.75,0.5,0.0,0.75,0.75,0.5,0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.5,0.25,0.5,0.5,0.25,0.5,1.0,18,884,NFUBXYRL.AF,0.25,1.0,-0.0011547168115826,0.0124133598981925
0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.0,0.25,0.5,19,884,NFUBXYRL.AF,0.75,1.0,0.0014434180392894,0.0135681648090206
0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.25,1.0,0.25,1.0,0.5,0.25,0.25,0.25,0.75,0.25,0.25,0.5,0.0,0.75,0.75,20,884,NFUBXYRL.AF,0.75,1.0,0.0028868360785792,0.0121246586704855
0.5,0.5,0.25,0.5,0.75,0.5,0.5,0.25,1.0,1.0,0.75,0.0,0.75,0.5,0.75,0.25,0.25,0.5,0.5,0.5,0.5,0.0,0.5,0.5,21,884,NFUBXYRL.AF,1.0,1.0,0.0057736721571584,0.013856777937482
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.0,0.75,0.75,0.25,0.75,0.5,0.75,0.5,0.75,0.25,0.25,0.25,0.5,0.25,0.75,22,884,NFUBXYRL.AF,1.0,1.0,0.0147228816206033,0.0095266119188588
0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.0,0.75,0.75,0.5,0.25,0.75,0.75,1.0,0.75,0.5,0.0,0.5,0.25,0.25,0.75,0.5,23,884,NFUBXYRL.AF,1.0,1.0,0.0135680767097752,0.0089492094634449
0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.5,1.0,1.0,0.75,0.5,0.25,0.25,0.5,1.0,0.75,24,884,NFUBXYRL.AF,1.0,1.0,0.0121247467697311,0.0089492094634449
0.75,0.75,0.75,0.75,0.5,0.75,0.5,1.0,1.0,0.0,0.25,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.0,0.25,0.75,1.0,1.0,25,884,NFUBXYRL.AF,1.0,1.0,0.0092378225919063,0.0049075684740373
0.75,0.75,0.75,0.75,1.0,0.75,0.5,1.0,0.75,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.25,0.75,1.0,1.0,26,884,NFUBXYRL.AF,1.0,1.0,0.0080831057803236,0.0054849709294515
1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.75,1.0,1.0,27,884,NFUBXYRL.AF,0.0,0.0,-0.0051962697017444,-0.0063509865133268
1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.25,0.5,0.0,0.25,0.5,0.5,28,884,NFUBXYRL.AF,0.0,0.25,-0.0046188672463303,-0.0040415528901618
1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.0,0.25,0.0,0.0,0.25,0.75,29,884,NFUBXYRL.AF,0.0,0.25,-0.0031755373062862,-0.0031755373062862
1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.5,0.75,0.0,0.0,1.0,1.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,30,884,NFUBXYRL.AF,0.0,0.0,-0.0043302541178689,-0.0049075684740373
1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.25,0.0,0.25,1.0,1.0,0.0,0.75,0.75,0.75,0.5,0.0,0.0,0.5,0.0,0.75,31,884,NFUBXYRL.AF,0.25,0.0,-0.0025981348508721,-0.0072170901964481
1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.75,0.5,0.5,0.5,0.75,0.5,0.0,0.25,0.0,0.5,32,884,NFUBXYRL.AF,0.25,0.0,-0.0011547168115824,-0.0066397758402794
1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.75,0.25,33,884,NFUBXYRL.AF,0.5,0.25,0.0005773143561684,-0.0043302541178689
1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.25,0.5,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.75,0.0,0.0,0.0,0.5,1.0,0.0,34,884,NFUBXYRL.AF,0.5,0.25,0.0,-0.0037528516624547
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.0,35,884,NFUBXYRL.AF,0.5,0.25,-0.0005773143561684,-0.0028868360785792
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.25,1.0,0.5,0.0,0.0,0.75,0.75,0.25,0.75,0.75,0.75,0.75,36,884,NFUBXYRL.AF,0.0,0.0,-0.0046189553455759,-0.004907656573283
1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.25,0.5,0.0,0.5,0.25,0.0,0.75,0.0,0.5,0.5,0.25,0.5,0.75,0.25,1.0,0.5,37,884,NFUBXYRL.AF,0.0,0.0,-0.005485059028697,-0.0075057914241551
