Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0,886,QPZ.AF,0.0,0.0,-0.0044671152640378,-0.0095724315839995
1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,1,886,QPZ.AF,0.75,0.5,0.0019145057919618,-0.0006382010559238
0.75,0.75,0.75,1.0,0.0,1.0,1.0,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.25,0.25,1.0,0.75,0.25,0.5,1.0,0.75,0.75,0.75,2,886,QPZ.AF,0.0,0.0,-0.0051053163199616,-0.0063816210559997
0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.0,0.5,0.0,1.0,1.0,0.0,0.25,0.5,0.5,1.0,0.25,1.0,0.5,0.5,0.5,3,886,QPZ.AF,0.0,0.0,-0.0063816210559998,-0.0070198221119235
0.75,0.75,1.0,0.75,0.5,1.0,1.0,0.75,0.25,0.5,0.5,0.75,1.0,1.0,0.75,0.0,0.75,0.25,0.5,0.75,1.0,0.75,0.25,0.25,4,886,QPZ.AF,0.0,0.5,-0.0044672126398475,0.0006381036801141
0.75,0.75,1.0,1.0,0.5,1.0,1.0,0.75,0.25,0.0,0.5,0.75,0.0,1.0,0.5,0.75,1.0,1.0,1.0,0.5,1.0,0.5,0.0,1.0,5,886,QPZ.AF,0.0,0.0,-0.0051053163199616,-0.0038290115839236
1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.25,0.75,1.0,0.75,0.75,0.5,0.5,1.0,0.75,1.0,0.25,0.75,0.5,6,886,QPZ.AF,0.25,0.0,-0.0025527068478856,-0.0044671152640379
0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.25,0.75,0.5,0.0,0.0,1.0,0.5,0.5,0.25,0.25,0.5,0.5,1.0,0.0,0.5,0.25,7,886,QPZ.AF,0.25,0.25,-0.001276304736038,-0.002552609472076
0.75,0.75,0.75,0.5,0.75,1.0,1.0,0.75,0.5,0.5,0.5,0.0,0.0,1.0,0.25,0.25,0.0,0.0,1.0,0.25,1.0,0.0,0.25,0.0,8,886,QPZ.AF,0.5,0.0,-0.0006382010559237,-0.0063816210559997
0.75,0.75,0.75,0.75,0.0,1.0,1.0,0.75,0.0,0.5,0.0,0.25,0.0,1.0,0.0,0.25,0.75,0.75,0.5,0.0,0.0,0.75,0.75,0.75,9,886,QPZ.AF,1.0,0.5,0.0051053163199616,-0.0006381036801141
0.75,0.75,0.75,0.75,0.0,1.0,1.0,0.75,0.0,0.5,0.25,0.75,0.0,0.0,1.0,0.75,1.0,1.0,0.25,0.0,0.75,0.75,0.5,0.5,10,886,QPZ.AF,0.75,0.0,0.001276304736038,-0.0038290115839236
0.5,0.75,0.5,0.75,0.5,1.0,1.0,0.75,0.25,0.0,0.25,0.75,0.25,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.75,0.75,0.75,11,886,QPZ.AF,0.25,0.25,-0.0019144084161523,-0.0031908105279998
0.5,0.5,0.75,0.75,0.25,0.75,1.0,0.75,0.0,0.5,0.75,0.25,0.5,0.0,0.75,0.25,0.75,0.25,0.5,0.75,1.0,0.5,1.0,0.5,12,886,QPZ.AF,0.25,0.25,-0.001276304736038,-0.0025526094720761
0.5,0.5,0.5,0.5,0.25,0.75,1.0,0.75,0.25,0.5,0.75,0.0,0.5,0.0,1.0,0.25,0.5,0.0,1.0,0.75,1.0,0.25,1.0,0.25,13,886,QPZ.AF,0.0,0.5,-0.0057434200000759,0.0
0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.75,0.75,0.0,0.75,1.0,0.75,0.5,0.25,0.75,0.75,0.75,1.0,0.5,0.5,0.75,1.0,0.75,14,886,QPZ.AF,0.0,0.0,-0.0057434200000758,-0.0076579257920377
1.0,0.75,1.0,0.75,0.5,0.75,1.0,0.25,0.5,0.75,0.75,0.75,0.75,0.0,0.75,0.5,1.0,0.5,0.5,0.75,0.75,0.5,0.5,0.5,15,886,QPZ.AF,0.0,0.0,-0.0051053163199616,-0.0102105352641138
0.75,0.75,0.75,0.5,0.75,0.75,1.0,0.0,0.75,0.75,1.0,0.5,0.25,0.0,0.5,0.25,0.5,0.25,1.0,0.75,1.0,0.25,0.25,0.25,16,886,QPZ.AF,0.25,0.25,-0.0012764021118475,-0.0019145057919618
0.5,0.5,0.5,0.5,1.0,0.75,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0.5,0.5,1.0,0.0,0.75,0.75,17,886,QPZ.AF,0.25,0.0,-0.0012763047360381,-0.0038290115839236
0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.5,0.5,18,886,QPZ.AF,1.0,0.5,0.0057434200000759,0.0006381036801141
0.5,0.5,0.75,0.75,0.0,0.5,0.75,0.25,0.0,0.5,1.0,0.75,0.0,0.5,0.75,0.75,0.75,0.75,0.0,0.0,0.5,0.75,0.75,0.75,19,886,QPZ.AF,0.25,0.0,-0.0019145057919618,-0.0057435173758855
